#      mass       lower       upper
 1.1434e+01  3.4305e-14  2.7826e-11
 1.1491e+01  3.4305e-14  2.7826e-11
 1.1547e+01  3.4305e-14  2.7826e-11
 1.1603e+01  3.4305e-14  2.7826e-11
 1.1660e+01  3.4305e-14  2.7826e-11
 1.1717e+01  3.4305e-14  2.7826e-11
 1.1775e+01  3.4305e-14  2.7826e-11
 1.1832e+01  3.4305e-14  2.7826e-11
 1.1890e+01  3.4305e-14  2.7826e-11
 1.1949e+01  3.4305e-14  2.7826e-11
 1.2007e+01  3.4305e-14  2.7826e-11
 1.2066e+01  3.4305e-14  2.7826e-11
 1.2125e+01  3.4305e-14  2.7826e-11
 1.2185e+01  3.4305e-14  2.7826e-11
 1.2244e+01  3.4305e-14  2.7826e-11
 1.2304e+01  3.4305e-14  2.7826e-11
 1.2365e+01  3.4305e-14  2.3101e-11
 1.2425e+01  3.4305e-14  2.3101e-11
 1.2486e+01  3.4305e-14  2.3101e-11
 1.2547e+01  3.4305e-14  2.3101e-11
 1.2609e+01  3.4305e-14  2.3101e-11
 1.2671e+01  3.4305e-14  2.3101e-11
 1.2733e+01  3.4305e-14  2.3101e-11
 1.2795e+01  3.4305e-14  2.3101e-11
 1.2858e+01  3.4305e-14  2.3101e-11
 1.2921e+01  3.4305e-14  2.3101e-11
 1.2984e+01  3.4305e-14  2.3101e-11
 1.3048e+01  3.4305e-14  2.3101e-11
 1.3112e+01  2.8480e-14  2.3101e-11
 1.3176e+01  2.8480e-14  2.3101e-11
 1.3241e+01  2.8480e-14  2.3101e-11
 1.3305e+01  2.8480e-14  2.3101e-11
 1.3371e+01  2.8480e-14  2.3101e-11
 1.3436e+01  2.8480e-14  2.3101e-11
 1.3502e+01  2.8480e-14  1.9179e-11
 1.3568e+01  2.8480e-14  1.9179e-11
 1.3635e+01  2.8480e-14  1.9179e-11
 1.3701e+01  2.8480e-14  1.9179e-11
 1.3769e+01  2.8480e-14  1.9179e-11
 1.3836e+01  2.8480e-14  1.9179e-11
 1.3904e+01  2.8480e-14  1.9179e-11
 1.3972e+01  2.8480e-14  1.9179e-11
 1.4040e+01  2.8480e-14  1.9179e-11
 1.4109e+01  2.8480e-14  1.9179e-11
 1.4178e+01  2.8480e-14  1.9179e-11
 1.4248e+01  2.8480e-14  1.9179e-11
 1.4318e+01  2.8480e-14  1.9179e-11
 1.4388e+01  2.8480e-14  1.9179e-11
 1.4458e+01  2.8480e-14  1.9179e-11
 1.4529e+01  2.8480e-14  1.9179e-11
 1.4600e+01  2.8480e-14  1.9179e-11
 1.4672e+01  2.8480e-14  1.5923e-11
 1.4744e+01  2.8480e-14  1.5923e-11
 1.4816e+01  2.8480e-14  1.5923e-11
 1.4889e+01  2.8480e-14  1.5923e-11
 1.4962e+01  2.8480e-14  1.5923e-11
 1.5035e+01  2.8480e-14  1.5923e-11
 1.5109e+01  2.8480e-14  1.5923e-11
 1.5183e+01  2.8480e-14  1.5923e-11
 1.5257e+01  2.8480e-14  1.5923e-11
 1.5332e+01  2.8480e-14  1.5923e-11
 1.5407e+01  2.8480e-14  1.5923e-11
 1.5482e+01  2.8480e-14  1.5923e-11
