m_B,deltaE,nFlux_pi0,nFlux_eta
1.80951,950,4,1
1.80951,960,9,3
1.80951,970,6,13
1.80951,980,8,7
1.80951,990,3,15
1.9281,0,0,0
1.9281,10,0,0
1.9281,20,0,0
1.9281,30,0,0
1.9281,40,0,0
1.9281,50,0,0
1.9281,60,0,0
1.9281,70,26,0
1.9281,80,49,0
1.9281,90,43,0
1.9281,100,46,0
1.9281,110,31,0
1.9281,120,24,0
1.9281,130,34,0
1.9281,140,25,0
1.9281,150,41,0
1.9281,160,42,0
1.9281,170,18,0
1.9281,180,33,0
1.9281,190,45,0
1.9281,200,22,0
1.9281,210,34,0
1.9281,220,40,0
1.9281,230,27,0
1.9281,240,16,0
1.9281,250,53,0
1.9281,260,37,0
1.9281,270,33,0
1.9281,280,27,3
1.9281,290,34,3
1.9281,300,34,4
1.9281,310,29,2
1.9281,320,45,4
1.9281,330,45,4
1.9281,340,38,3
1.9281,350,27,0
1.9281,360,36,4
1.9281,370,30,5
1.9281,380,23,10
1.9281,390,36,3
1.9281,400,31,1
1.9281,410,22,5
1.9281,420,24,0
1.9281,430,23,8
1.9281,440,39,4
1.9281,450,32,3
1.9281,460,40,2
1.9281,470,35,1
1.9281,480,41,1
1.9281,490,33,4
1.9281,500,24,3
1.9281,510,29,5
1.9281,520,16,5
1.9281,530,22,11
1.9281,540,32,1
1.9281,550,27,3
1.9281,560,28,2
1.9281,570,36,4
1.9281,580,36,13
1.9281,590,27,2
1.9281,600,27,2
1.9281,610,15,8
1.9281,620,20,5
1.9281,630,21,6
1.9281,640,25,7
1.9281,650,12,1
1.9281,660,22,10
1.9281,670,20,3
1.9281,680,12,4
1.9281,690,9,4
1.9281,700,16,1
1.9281,710,11,12
1.9281,720,9,4
1.9281,730,11,4
1.9281,740,18,6
1.9281,750,23,8
1.9281,760,13,1
1.9281,770,12,7
1.9281,780,9,3
1.9281,790,21,3
1.9281,800,11,4
1.9281,810,12,10
1.9281,820,7,4
1.9281,830,7,2
1.9281,840,24,7
1.9281,850,16,8
1.9281,860,6,4
1.9281,870,17,3
1.9281,880,20,6
1.9281,890,35,6
1.9281,900,20,8
1.9281,910,9,10
1.9281,920,10,6
1.9281,930,11,4
1.9281,940,11,6
1.9281,950,11,6
1.9281,960,4,5
1.9281,970,6,6
1.9281,980,4,8
1.9281,990,5,5
2.05446,0,0,0
2.05446,10,0,0
2.05446,20,0,0
2.05446,30,0,0
2.05446,40,0,0
2.05446,50,0,0
2.05446,60,0,0
2.05446,70,26,0
2.05446,80,43,0
2.05446,90,36,0
2.05446,100,38,0
2.05446,110,30,0
2.05446,120,18,0
2.05446,130,43,0
2.05446,140,29,0
2.05446,150,45,0
2.05446,160,43,0
2.05446,170,39,0
2.05446,180,42,0
2.05446,190,46,0
2.05446,200,22,0
2.05446,210,42,0
2.05446,220,33,0
2.05446,230,29,0
2.05446,240,23,0
2.05446,250,41,0
2.05446,260,37,0
2.05446,270,42,0
2.05446,280,45,4
2.05446,290,39,4
2.05446,300,45,10
2.05446,310,23,4
2.05446,320,42,2
2.05446,330,31,8
2.05446,340,37,0
2.05446,350,42,1
2.05446,360,33,8
2.05446,370,23,6
2.05446,380,32,4
2.05446,390,33,1
2.05446,400,34,1
2.05446,410,21,4
2.05446,420,26,0
2.05446,430,25,7
2.05446,440,27,4
2.05446,450,34,6
2.05446,460,26,2
2.05446,470,37,1
2.05446,480,44,3
2.05446,490,34,5
2.05446,500,19,0
2.05446,510,23,10
2.05446,520,20,13
2.05446,530,31,6
2.05446,540,28,2
2.05446,550,24,3
2.05446,560,26,2
2.05446,570,32,6
2.05446,580,34,9
2.05446,590,31,4
2.05446,600,22,2
2.05446,610,22,8
2.05446,620,18,6
2.05446,630,25,3
2.05446,640,19,7
2.05446,650,19,5
2.05446,660,25,6
2.05446,670,26,6
2.05446,680,17,1
2.05446,690,18,7
2.05446,700,13,10
2.05446,710,19,6
2.05446,720,7,8
2.05446,730,15,6
2.05446,740,6,8
2.05446,750,18,3
2.05446,760,17,0
2.05446,770,15,8
2.05446,780,14,1
2.05446,790,9,5
2.05446,800,13,2
2.05446,810,12,7
2.05446,820,12,4
2.05446,830,16,4
2.05446,840,15,9
2.05446,850,14,13
2.05446,860,26,7
2.05446,870,27,5
2.05446,880,18,3
2.05446,890,34,15
2.05446,900,19,11
2.05446,910,11,6
2.05446,920,6,6
2.05446,930,7,4
2.05446,940,9,7
2.05446,950,7,7
2.05446,960,7,4
2.05446,970,9,8
2.05446,980,3,5
2.05446,990,6,16
2.1891,0,0,0
2.1891,10,0,0
2.1891,20,0,0
2.1891,30,0,0
2.1891,40,0,0
2.1891,50,0,0
2.1891,60,0,0
2.1891,70,26,0
2.1891,80,52,0
2.1891,90,35,0
2.1891,100,41,0
2.1891,110,24,0
2.1891,120,23,0
2.1891,130,33,0
2.1891,140,32,0
2.1891,150,37,0
2.1891,160,39,0
2.1891,170,24,0
2.1891,180,41,0
2.1891,190,48,0
2.1891,200,41,0
2.1891,210,46,0
2.1891,220,29,0
2.1891,230,28,0
2.1891,240,32,0
2.1891,250,46,0
2.1891,260,33,0
2.1891,270,38,0
2.1891,280,41,2
2.1891,290,26,2
2.1891,300,23,5
2.1891,310,27,2
2.1891,320,42,7
2.1891,330,52,5
2.1891,340,37,0
2.1891,350,30,3
2.1891,360,28,6
2.1891,370,20,5
2.1891,380,27,4
2.1891,390,39,1
2.1891,400,43,1
2.1891,410,15,2
2.1891,420,28,0
2.1891,430,22,6
2.1891,440,34,1
2.1891,450,41,5
2.1891,460,41,3
2.1891,470,32,3
2.1891,480,40,1
2.1891,490,38,4
2.1891,500,27,4
2.1891,510,32,7
2.1891,520,23,7
2.1891,530,31,14
2.1891,540,22,2
2.1891,550,38,1
2.1891,560,24,1
2.1891,570,31,3
2.1891,580,30,7
2.1891,590,26,10
2.1891,600,16,0
2.1891,610,14,3
2.1891,620,6,6
2.1891,630,27,8
2.1891,640,23,6
2.1891,650,14,3
2.1891,660,20,2
