#      mass       lower       upper
8.7816000e+00 2.8480359e-14 5.8570208e-11
8.8246300e+00 2.8480359e-14 4.8626016e-11
8.8678700e+00 2.8480359e-14 4.8626016e-11
8.9113300e+00 2.8480359e-14 4.8626016e-11
8.9550000e+00 2.8480359e-14 4.8626016e-11
8.9988800e+00 2.3644894e-14 4.8626016e-11
9.0429800e+00 2.3644894e-14 4.8626016e-11
9.0872900e+00 2.3644894e-14 4.8626016e-11
9.1318200e+00 2.3644894e-14 4.8626016e-11
9.1765700e+00 2.3644894e-14 4.8626016e-11
9.2215400e+00 2.3644894e-14 4.8626016e-11
9.2667300e+00 2.3644894e-14 4.8626016e-11
9.3121400e+00 2.3644894e-14 4.8626016e-11
9.3577700e+00 2.3644894e-14 4.8626016e-11
9.4036300e+00 2.3644894e-14 4.8626016e-11
9.4497100e+00 2.3644894e-14 4.8626016e-11
9.4960200e+00 2.3644894e-14 4.8626016e-11
9.5425500e+00 2.3644894e-14 4.8626016e-11
9.5893100e+00 2.3644894e-14 4.8626016e-11
9.6363100e+00 2.3644894e-14 4.0370173e-11
9.6835300e+00 2.3644894e-14 4.0370173e-11
9.7309800e+00 2.3644894e-14 4.0370173e-11
9.7786700e+00 2.3644894e-14 4.0370173e-11
9.8265800e+00 2.3644894e-14 4.0370173e-11
9.8747400e+00 2.3644894e-14 4.0370173e-11
9.9231300e+00 2.3644894e-14 4.0370173e-11
9.9717600e+00 2.3644894e-14 4.0370173e-11
1.0020600e+01 2.3644894e-14 4.0370173e-11
1.0069700e+01 2.3644894e-14 4.0370173e-11
1.0119100e+01 2.3644894e-14 4.0370173e-11
1.0168700e+01 2.3644894e-14 4.0370173e-11
1.0218500e+01 2.3644894e-14 4.0370173e-11
1.0268600e+01 2.3644894e-14 4.0370173e-11
1.0318900e+01 2.3644894e-14 4.0370173e-11
1.0369400e+01 2.3644894e-14 4.0370173e-11
1.0420300e+01 2.3644894e-14 4.0370173e-11
1.0471300e+01 2.3644894e-14 3.3516027e-11
1.0522600e+01 2.3644894e-14 3.3516027e-11
1.0574200e+01 2.3644894e-14 3.3516027e-11
1.0626000e+01 2.3644894e-14 3.3516027e-11
1.0678100e+01 2.3644894e-14 3.3516027e-11
1.0730400e+01 2.3644894e-14 3.3516027e-11
1.0783000e+01 2.3644894e-14 3.3516027e-11
1.0835800e+01 1.9630407e-14 3.3516027e-11
1.0888900e+01 1.9630407e-14 3.3516027e-11
1.0942300e+01 1.9630407e-14 3.3516027e-11
1.0995900e+01 1.9630407e-14 3.3516027e-11
1.1049800e+01 1.9630407e-14 3.3516027e-11
1.1104000e+01 1.9630407e-14 3.3516027e-11
1.1158400e+01 1.9630407e-14 3.3516027e-11
1.1213100e+01 1.9630407e-14 3.3516027e-11
1.1268000e+01 1.9630407e-14 3.3516027e-11
1.1323200e+01 1.9630407e-14 3.3516027e-11
1.1378700e+01 1.9630407e-14 2.7825594e-11
1.1434500e+01 1.9630407e-14 2.7825594e-11
1.1490500e+01 1.9630407e-14 2.7825594e-11
1.1546800e+01 1.9630407e-14 2.7825594e-11
1.1603400e+01 1.9630407e-14 2.7825594e-11
1.1660200e+01 1.9630407e-14 2.7825594e-11
1.1717400e+01 1.9630407e-14 2.7825594e-11
1.1774800e+01 1.9630407e-14 2.7825594e-11
1.1832500e+01 1.9630407e-14 2.7825594e-11
1.1890500e+01 1.9630407e-14 2.7825594e-11
1.1948800e+01 1.9630407e-14 2.7825594e-11
1.2007300e+01 1.9630407e-14 2.7825594e-11
1.2066200e+01 1.9630407e-14 2.7825594e-11
1.2125300e+01 1.9630407e-14 2.7825594e-11
1.2184700e+01 1.9630407e-14 2.7825594e-11
1.2244400e+01 1.9630407e-14 2.7825594e-11
1.2304400e+01 1.9630407e-14 2.7825594e-11
1.2364700e+01 1.9630407e-14 2.3101297e-11
1.2425300e+01 1.9630407e-14 2.3101297e-11
1.2486200e+01 1.9630407e-14 2.3101297e-11
1.2547400e+01 1.9630407e-14 2.3101297e-11
1.2608900e+01 1.9630407e-14 2.3101297e-11
1.2670700e+01 1.9630407e-14 2.3101297e-11
